Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
Never Die Twice;2001;Postcard Row (Alamo Square, Hayes Valley);The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.;Scott / Kelly Films;;Sean A.F. Scott;Sean A.F. Scott & Nancy L. Kelly;Claudia Christian;;
Serendipity;2001;;;Miramax Films;Miramax Home Entertainment;Peter Chelsom;Marc Klein;John Cusack;Kate Beckinsale;
Sweet November;2001;Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Hotel Majestic (1500 Sutter Street);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Foote, Cone & Belding (733 Front Street at Pacific);"The building is called ""Jabe & Dunne Advertising Agency"" in the movie.";Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Farley's Café (1315 18th Street Near Missouri);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Citicorp Center (1 Sansome Street at Sutter);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Christopher's Books (1400 18th Street);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Chrissy Field;Chrissy Field was originally an airfield for the Presidio Army Base.;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Blooms Saloon (18th Street between Missouri and Texas Streets);;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
Sweet November;2001;Mission Dolores Park (Mission District);The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.;Warner Bros. Pictures;Warner Bros. Pictures;Pat O'Connor;Paul Yurick;Keanu Reeves;Charlize Theron;
The Princess Diaries;2001;724 Brazil Avenue;;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;Fisherman's Wharf;Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;Firestation #3 (Brazil Avenue and Athens Street);;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;Cliff House (1090 Point Lobos Avenue);The Musee Mechanique, which Julie Andrews' character visits in the movie, was at the time housed under the Cliff House.;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;Broadway Tunnel (Broadway between Powell and Larkin);;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;Baker Beach;;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Princess Diaries;2001;2601 Lyon Street;;Walt Disney Pictures;Buena Vista Pictures;Garry Marshall;Gina Wendkos;Julie Andrews;Anne Hathway;
The Wedding Planner;2001;Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park);Golden Gate Park is similar in shape but 20% larger than New York's Central Park.;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;Pleasant Street at Taylor;;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;Pier 7 (The Embarcadero);;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;Montgomery Street at Union Street;;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;Lincoln Park;The land on which the park stands was a cemetery until the late 1860s.;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park);"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden";Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
The Wedding Planner;2001;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Columbia Pictures;Sony Pictures Entertainment;Adam Shankman;Pamela Falk;Jennifer Lopez;Matthew McConaughey;
40 Days and 40 Nights;2002;The Walden House, Buena Vista Park;Established in 1867, Buena Vista Park is the oldest official park in San Francisco.;Miramax Films;Miramax Films;Michael Lehmann;Robert Perez;Josh Hartnett;Shaynnyn Sossamon;
40 Days and 40 Nights;2002;Café Trieste (609 Vallejo);"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.";Miramax Films;Miramax Films;Michael Lehmann;Robert Perez;Josh Hartnett;Shaynnyn Sossamon;
Cherish;2002;387 Fair Oaks at 25th Street;;3 Ring Circus Films;Fine Line Features;Finn Taylor;Finn Taylor;Brad Hunt;Robin Tunney;
High Crimes;2002;Bank of America Building (555 California Street);The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
High Crimes;2002;391 Pennsylvania Avenue at 19th Street;;Twentieth Century Fox Corporation;Twentieth Century Fox Corporation;Carl Franklin;Yuri Zeltser;Ashley Judd;Morgan Freeman;
High Crimes;2002;Vesuvio Café (255 Columbus Avenue);Jack Kerouac was a regular at the café.;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
High Crimes;2002;Union Square;"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".";Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
High Crimes;2002;Maiden Lane;;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
High Crimes;2002;Condor Club (Columbus and Broadway);;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
High Crimes;2002;Chase H & Q  (1 Bush Street at Sansome);;Twentieth Century Fox Film Corporation;Twentieth Century Fox Film Corporation;Mel Brooks;Mel Brooks;Mel Brooks;Madeline Kahn;
Rollerball;2002;;;Atlas Entertainment;MGM Home Entertainment;John McTiernan;William Harrison;Chris Klein;Jean Reno;
The Sweetest Thing;2002;Golden Gate National Recreation Area;The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.;Columbia Pictures Corp.;Columbia Pictures;Roger Kumble;Nancy M. Pimental;Cameron Diaz;Christina Applegate;
Confessions of a Burning Man;2003;;;Hotbed Media;Windline Films;Paul Barnett;N/A;Kevin Epps;Anna Getty;
Dopamine;2003;South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets);;Kontent Films;Sundance Channel Home Entertainment;Mark Decena;Mark Decena & Timothy Breitbach;John Livingston;Sabrina Lloyd;
Dopamine;2003;Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Kontent Films;Sundance Channel Home Entertainment;Mark Decena;Mark Decena & Timothy Breitbach;John Livingston;Sabrina Lloyd;
House of Sand and Fog;2003;;;DreamWorks SKG;DreamWorks Distribution;Vadim Perelman;Vadim Perelman;Jennifer Connelly;Ben Kingsley;
Hulk;2003;Telegraph Hill;Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.;Universal Pictures;Universal Pictures;Ang Lee;Stan Lee;Eric Bana;Jennifer Connelly;
Hulk;2003;Vallejo Street at Sansome;;Universal Pictures;Universal Pictures;Ang Lee;Stan Lee;Eric Bana;Jennifer Connelly;
Hulk;2003;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Universal Pictures;Universal Pictures;Ang Lee;Stan Lee;Eric Bana;Jennifer Connelly;
Hulk;2003;Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Universal Pictures;Universal Pictures;Ang Lee;Stan Lee;Eric Bana;Jennifer Connelly;
Julie and Jack;2003;;;Moviehead Pictures;Echelon Entertainment;James Nguyen;James Nguyen & Joe Bright;Jenn Gotzon;Tippi Hedren;
Mona Lisa Smile;2003;;;Revolution Studios;Columbia Pictures;Mike Newell;Lawrence Konner;Julia Roberts;Kirsten Dunst;
Swing;2003;Broadway Studios (435 Broadway at Montgomery Street);;unlisted;Crazy Dreams Entertainment;Martin Guigui;Mary Keil;Constance Brenneman;;
Swing;2003;Regency Building (1290 Sutter Street);;unlisted;Crazy Dreams Entertainment;Martin Guigui;Mary Keil;Constance Brenneman;;
The Core;2003;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;David Foster Productions;Paramount Pictures;John Amiel;Cooper Lane;Aaron Eckhart;Hilary Swank;
The Fog of War;2003;;;Sony Pictures Classics;Sony Pictures Classics;Errol Morris;N/A;Robert McNamara;;
Under the Tuscan Sun;2003;Mecca Restaurant (2029 Market Street);;Touchstone Pictures;Buena Vista Pictures;Audrey Wells;Audrey Wells;Diane Lane;Sandra Oh;
50 First Dates;2004;Rainforest Café (145 Jefferson Street);;Columbia Pictures Corporation;Columbia Pictures;Peter Segal;George Wing;Adam Sandler;Drew Barrymore;
American Yearbook;2004;;;All Planet Studios;N/A;Brian Ging;Brian Ging;Nick Tagas;Jon Carlo Alvarez;
Fandom;2004;;;The Digital Golem;Cinequest Distribution;Nicholas Tucker;Nicholas Tucker & Mark Hefti;Mark Hefti;Peter Quintana;
Red Diaper Baby;2004;Magic Theater (Fort Mason, Golden Gate National Recreation Area);Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.;Hello Hooker Productions;Sundance Channel;Doug Pray;Josh Kornbluth;Josh Kornbluth;;
The Assassination of Richard Nixon;2004;Tosca Café (242 Columbus Avenue, North Beach);;Anhelo Productions;THINKFilm;Niels Mueller;Niels Mueller & Kevin Kennedy;Sean Penn;Naomi Watts;
The Assassination of Richard Nixon;2004;766 Sutter Street;;Anhelo Productions;THINKFilm;Niels Mueller;Niels Mueller & Kevin Kennedy;Sean Penn;Naomi Watts;
Twisted;2004;Red's Java House (Pier 30-32, The Embarcadero);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Piers 30-32;;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Pier 39;;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Pier 24;;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Mojito (1337-1339 Grant Avenue);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;McCovey Point, China Basin Park (24 Willy Mays Plaza);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Veterans' War Memorial Building (401 Van Ness Avenue);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;;;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;La Bodega (1332 Grant Avenue at Vallejo);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;Vesuvio Café (255 Columbus Avenue);Jack Kerouac was a regular at the café.;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
Twisted;2004;The Saloon (1232 Grant Avenue);;Paramount Pictures;Paramount Pictures;Philip Kaufman;Sarah Thorp;Ashley Judd;Samuel L. Jackson;
What the Bleep Do We Know;2004;Golden Gate National Recreation Area;The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.;Captured Light;Samuel Goldwyn Films;William Arntz;William Arntz & Betsy Chasse;Marlee Matlin;;
24 Hours on Craigslist;2005;;;Yerba Buena Productions;Zealot Pictures;Michael Ferris Gibson;N/A;Craig Newmark;;
Bee Season;2005;;;Bee Season Productions;Fox Searchlight Pictures;Scott McGehee;David Siegel;Richard Gere;Juliette Binoche;
Just Like Heaven;2005;;;DreamWorks SKG;DreamWorks Distribution;Mark Waters;Peter Tolan;Reese Witherspoon;Mark Ruffalo;
Night of Henna;2005;;;Zee Films;Illuminare Entertainment;Hassan Zee;Hassan Zee;Joyce Carlin;Nancy Carlin;
Rent;2005;Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Rent Productions LLC;Columbia Pictures;Chris Columbus;Stephen Chbosky;Anthony Rapp;Rosario Dawson;
The Californians;2005;;;Parker Film Company;Fabrication Films;Jonathan Parker;Jonathan Parker & Catherine DiNapoli;Noah Wyle;;
The Zodiac;2005;;;Blackwater Films;THINKFilm;Alexander Bulkley;Alexander Bulkley & Kelley Bulkeley;Justin Chambers;Robin Tunney;
Tweek City;2005;;;Tweek City LLC;Maverick Entertainment Group;Eric G. Johnson;Eric G. Johnson;Giuseppe Andrews;;
The Bridge;2006;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Easy There Tiger Productions;IFC Films;Eric Steel;N/A;John Snowden;;
The Pursuit of Happyness;2006;Glen Park Subway Station;;Columbia Pictures Corporation;Columbia Pictures;Steven Conrad;Gabriele Muccino;Will Smith;Jayden C. Smith;
The Pursuit of Happyness;2006;Glide Memorial Church (434 Ellis St);;Columbia Pictures Corporation;Columbia Pictures;Steven Conrad;Gabriele Muccino;Will Smith;Jayden C. Smith;
The Pursuit of Happyness;2006;Candlestick Park (602 Jamestown Ave.);Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.;Columbia Pictures Corporation;Columbia Pictures;Steven Conrad;Gabriele Muccino;Will Smith;Jayden C. Smith;
The Pursuit of Happyness;2006;Golden Gate Park Children's Playground;Golden Gate Park is similar in shape but 20% larger than New York's Central Park.;Columbia Pictures Corporation;Columbia Pictures;Steven Conrad;Gabriele Muccino;Will Smith;Jayden C. Smith;
Zodiac;2007;SF Chronicle Building (901 Mission St);;Paramount Pictures;Paramount Pictures;David Fincher;James Vanderbilt;Jake Gyllenhaal;Mark Ruffalo;
Milk;2008;Duboce Park;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;City Hall;The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;424 Sansome Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;29th and Dolores Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;El Camino Del Mar;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Market & Castro Street;"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.";Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Marine Fireman's Union Headquarters;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Lower Haight Street;;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Grace Cathedral Episcopal Church (1100 California Street);Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Milk;2008;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Focus Features;Focus Features;Gus Van Sant;Dustin Lance Black;Sean Penn;Emile Hirsch;
Babies;2010;;;Canal+;Focus Features;Thomas Balmes;Thomas Balmes;Bayar;Hattie;
Broken-A Modern Love Story;2010;Ina Coolbrith Park (1700 Taylor Street);;RKW Films;;Ryan K. Whiting;Ryan K. Whiting;;;
Broken-A Modern Love Story;2010;0-100 block Halleck Street;;RKW Films;;Ryan K. Whiting;Ryan K. Whiting;;;
God is a Communist?* (show me heart universe);2010;Sacramento & Washington Streets;;Trismegistus Productions;;Jon Poznanter;Jon Poznanter;John Wynn;;
Hereafter;2010;Hobart Building (582 Market Street);;GT Films;Warner Bros. Pictures;Clint Eastwood;Peter Morgan;Matt Damon;Cecile De France;
Hereafter;2010;The Final Final (2990 Baker Street);;GT Films;Warner Bros. Pictures;Clint Eastwood;Peter Morgan;Matt Damon;Cecile De France;
Hereafter;2010;1160 Taylor Street;;GT Films;Warner Bros. Pictures;Clint Eastwood;Peter Morgan;Matt Damon;Cecile De France;
180;2011;Epic Roasthouse (399 Embarcadero);;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;Mason & California Streets (Nob Hill);;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;Justin Herman Plaza;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;200 block Market Street;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;City Hall;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;Polk & Larkin Streets;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;Randall Museum;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
180;2011;555 Market St.;;SPI Cinemas;;Jayendra;Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba;Siddarth;Nithya Menon;Priya Anand
Hemingway & Gelhorn;2011;Muni Metro East (501 Cesar Chavez);;Attaboy Films, For Whom Productions, Home Box Office (HBO);Home Box Office (HBO);Philip Kaufman;Jerry Stahl & Barbara Turner;Nicole Kidman;Clive Owen;
I's;2011;1 Post Street;;Banshee Cinema;;Chris Edgette;Kyle Tuck;;;
Alcatraz;2012;Filbert St. from Jones to Mason;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
Alcatraz;2012;Leavenworth from Filbert & Francisco St;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
Alcatraz;2012;Chestnut St. from Larkin to Columbus;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
Alcatraz;2012;Francisco St from Larkin to Polk;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
Alcatraz;2012;Broadway from Mason to Taylor;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
Alcatraz;2012;Taylor St. from Broadway to Filbert;;Bonanza Productions Inc.;Warner Bros. Television;J.J. Abrams;Steven Lilien;Sarah Jones;Jorge Garcia;
CSI: NY- episode 903;2012;Palace of Fine Arts;;CBS Television Studios;Columbia Broadcasting System;Vikki Williams;Anthony E. Zuiker;Gary Sinise;Sela Ward;
On the Road;2012;Bay Bridge;;SPAD Films;IFC Films & Sundance Selects;Walter Salles;Jack Kerouac & Jose Rivera;Garrett Hedlund;Viggo Mortenson;
On the Road;2012;Sacramento & Montgomery Streets;;SPAD Films;IFC Films & Sundance Selects;Walter Salles;Jack Kerouac & Jose Rivera;Garrett Hedlund;Viggo Mortenson;
On the Road;2012;2017 23rd Street;;SPAD Films;IFC Films & Sundance Selects;Walter Salles;Jack Kerouac & Jose Rivera;Garrett Hedlund;Viggo Mortenson;
On the Road;2012;Filbert & Leavenworth Streets;;SPAD Films;IFC Films & Sundance Selects;Walter Salles;Jack Kerouac & Jose Rivera;Garrett Hedlund;Viggo Mortenson;
The Master;2012;Pier 7/ Embarcadero;;H.H. Project;Weinstein Company;Paul Thomas Anderson;Paul Thomas Anderson;Philip Seymour Hoffman;Joaquin Phoenix;
Big Sur;2013;Tosca Café (242 Columbus Avenue, North Beach);;3311 Productions;;Michael Polish;Jack Kerouac & Michael Polish;Josh Lucas;Kate Bosworth;Stana Katic
Blue Jasmine;2013;Jones & Pacific;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Pacific & Divisadero;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Lombard & Hyde;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;5546 Geary Ave;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;2898 Broadway;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Motel Capri;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Marina Green;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Ocean Beach at Lincoln;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Heald College;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Marina Blvd from Laguna to Baker;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;330 Santa Clara Ave.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;200 Post St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;2179 48th Ave;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;The Ramp Restaurant;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;303-305 S. Van Ness;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;3563 20th St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Taylor & Green St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Grant & Washington St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;2934 24th St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;1138 Alabama St;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;South Park;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;2915 16th St.;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Trolley Car from Market and 11th;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Real Guitars;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;Aub Zam Zam Bar;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
Blue Jasmine;2013;790 Ulloa;;Perdido Productions;Sony Pictures Classics;Woody Allen;Woody Allen;Cate Blanchett;Alec Baldwin;Peter Sarsgaard
